Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College,SEASON,RK,NAME,TEAM,SALARY
dion waiters,2013-14,22.0,CLE,NBA,70,24.0,2072.0,14.0,0.252,0.237,1.7,9.0,5.3,18.2,1.6,0.7,12.3,26.9,99.0,110.0,0.3,1.3,1.6,0.037,-0.2,-1.8,-2.1,0.0,Pennsylvania,Black,2013,2016,G,6-4,225,"December 10, 1991",Syracuse University,2013-2014,149,"Dion Waiters, SG",Cleveland Cavaliers,3894240
kemba walker,2013-14,23.0,CHA,NBA,73,73.0,2614.0,16.8,0.286,0.295,1.7,11.6,6.6,29.7,1.7,1.0,11.6,25.8,103.0,105.0,1.8,3.3,5.1,0.093,1.6,0.2,1.7,2.4,New York,Black,2012,2016,G,6-1,172,"May 8, 1990",University of Connecticut,2013-2014,206,"Kemba Walker, PG",Charlotte Bobcats,2568360
john wall,2013-14,23.0,WAS,NBA,82,82.0,2980.0,19.5,0.23,0.295,1.5,11.7,6.5,40.5,2.6,1.1,16.3,27.4,106.0,104.0,4.0,4.0,7.9,0.128,2.4,0.2,2.6,3.4,North Carolina,Black,2011,2016,G,6-4,195,"September 6, 1990",University of Kentucky,2013-2014,85,"John Wall, PG",Washington Wizards,7459925
gerald wallace,2013-14,31.0,BOS,NBA,58,16.0,1416.0,10.0,0.278,0.439,2.8,14.5,8.5,14.9,2.7,0.8,26.1,11.6,95.0,106.0,-0.3,1.6,1.3,0.043,-2.5,2.2,-0.3,0.6,Alabama,Black,2002,2015,F,6-7,215,"July 23, 1982",University of Alabama,2013-2014,53,"Gerald Wallace, SF",Boston Celtics,10105855
cj watson,2013-14,29.0,IND,NBA,63,5.0,1193.0,13.0,0.434,0.263,1.9,7.4,4.8,14.4,2.6,0.5,13.9,16.6,107.0,100.0,1.1,2.1,3.2,0.13,-0.3,0.8,0.5,0.7,Nevada,Black,2008,2016,G,6-2,175,"April 17, 1984",University of Tennessee,2013-2014,229,"C.J. Watson, PG",Indiana Pacers,2016000
martell webster,2013-14,27.0,WAS,NBA,78,13.0,2157.0,11.5,0.634,0.213,2.0,10.1,6.0,6.7,1.0,0.6,8.3,14.7,116.0,108.0,3.3,1.7,5.0,0.112,1.0,-1.1,-0.1,1.0,Washington,Black,2006,2015,G-F,6-7,230,"December 4, 1986",,2013-2014,115,"Martell Webster, SF",Washington Wizards,5150000
david west,2013-14,33.0,IND,NBA,80,80.0,2472.0,17.5,0.016,0.267,5.7,18.3,12.3,16.1,1.3,2.3,11.2,21.9,108.0,99.0,3.1,5.0,8.1,0.157,-0.6,2.7,2.0,2.5,New Jersey,Black,2004,2016,F,6-9,250,"August 29, 1980",Xavier University,2013-2014,40,"David West, PF",Indiana Pacers,12000000
russell westbrook,2013-14,25.0,OKC,NBA,46,46.0,1412.0,24.7,0.271,0.37,4.6,15.9,10.5,40.2,3.1,0.4,16.1,34.4,108.0,102.0,3.0,2.3,5.2,0.178,5.2,1.2,6.4,3.0,California,Black,2009,2016,G,6-3,200,"November 12, 1988","University of California, Los Angeles",2013-2014,22,"Russell Westbrook, PG",Oklahoma City Thunder,14693906
dj white,2013-14,27.0,CHA,NBA,2,0.0,10.0,2.4,0.0,0.0,0.0,22.7,11.3,0.0,5.2,0.0,0.0,4.6,0.0,95.0,0.0,0.0,0.0,0.004,-10.3,3.4,-6.9,0.0,Alabama,Black,2009,2014,F,6-9,251,"August 31, 1986",Indiana University,2013-2014,373,"D.J. White, PF",Charlotte Bobcats,104028
deron williams,2013-14,29.0,BRK,NBA,64,58.0,2059.0,17.6,0.374,0.302,0.9,8.9,4.9,32.8,2.4,0.5,15.0,21.8,112.0,109.0,3.8,1.5,5.4,0.125,2.7,-1.5,1.2,1.6,West Virginia,Black and White,2006,2016,G,6-3,200,"June 26, 1984",University of Illinois at Urbana-Champaign,2013-2014,12,"Deron Williams, PG",Brooklyn Nets,18466130
derrick williams,2013-14,22.0,TOT,NBA,78,15.0,1820.0,11.5,0.205,0.537,4.3,15.8,10.0,4.7,1.3,0.9,11.3,16.2,105.0,109.0,1.3,1.3,2.6,0.068,-2.1,-0.5,-2.6,-0.3,California,Black,2012,2016,F,6-8,240,"May 25, 1991",University of Arizona,2013-2014,118,"Derrick Williams, PF",Sacramento Kings,5016960
elliot williams,2013-14,24.0,PHI,NBA,67,2.0,1157.0,8.7,0.371,0.353,2.7,9.7,6.1,9.4,1.5,0.2,14.9,16.7,98.0,113.0,0.0,0.3,0.3,0.014,-3.2,-2.6,-5.7,-1.1,Tennessee,Black,2012,2016,G,6-5,190,"June 20, 1989",University of Memphis,2013-2014,322,"Elliot Williams, SG",Philadelphia 76ers,797545
lou williams,2013-14,27.0,ATL,NBA,60,7.0,1445.0,14.2,0.469,0.363,0.8,9.1,5.0,22.9,1.6,0.2,13.9,20.9,107.0,109.0,1.6,1.0,2.6,0.087,0.3,-2.1,-1.8,0.1,Tennessee,Black,2006,2016,G,6-1,175,"October 27, 1986",,2013-2014,112,"Louis Williams, SG",Atlanta Hawks,5225000
marvin williams,2013-14,27.0,UTA,NBA,66,50.0,1674.0,14.0,0.445,0.139,5.5,17.9,11.5,7.7,1.7,1.5,8.7,16.7,110.0,110.0,1.9,1.0,2.9,0.084,0.5,-0.3,0.2,0.9,Washington ,Black,2006,2016,F,6-9,237,"June 19, 1986",University of North Carolina,2013-2014,81,"Marvin Williams, PF",Utah Jazz,7500000
mo williams,2013-14,31.0,POR,NBA,74,0.0,1834.0,11.8,0.335,0.132,2.5,6.4,4.5,26.7,1.5,0.4,17.3,20.5,102.0,110.0,1.0,1.2,2.2,0.056,-0.2,-1.7,-2.0,0.0,Mississippi ,Black,2004,2016,G,6-1,198,"December 19, 1982",University of Alabama,2013-2014,203,"Mo Williams, PG",Portland Trail Blazers,2652000
jeff withey,2013-14,23.0,NOP,NBA,58,4.0,684.0,15.2,0.008,0.566,8.2,17.4,12.7,5.6,1.1,6.1,11.0,12.0,122.0,108.0,1.2,0.6,1.8,0.128,-1.4,1.7,0.3,0.4,California ,White,2014,2016,C,7-0,231,"March 7, 1990",University of Kansas,2013-2014,355,"Jeff Withey, C",New Orleans Pelicans,490180
nate wolters,2013-14,22.0,MIL,NBA,58,31.0,1309.0,12.7,0.159,0.231,2.8,10.5,6.5,23.3,1.4,0.9,11.7,16.8,105.0,114.0,0.9,0.2,1.2,0.043,-1.4,-2.1,-3.4,-0.5,Minnesota ,White,2014,2015,G,6-4,190,"May 15, 1991",South Dakota State University,2013-2014,347,"Nate Wolters, PG",Milwaukee Bucks,500000
brandan wright,2013-14,26.0,DAL,NBA,58,0.0,1077.0,23.5,0.0,0.32,11.0,15.1,13.1,4.7,1.5,4.2,8.5,17.4,135.0,107.0,4.1,1.0,5.1,0.227,3.1,0.6,3.6,1.5,Tennessee,Black,2008,2016,F,6-10,210,"October 5, 1987",University of North Carolina,2013-2014,121,"Brandan Wright, PF",Dallas Mavericks,5000000
chris wright,2013-14,25.0,MIL,NBA,8,0.0,126.0,16.5,0.029,0.429,8.8,9.4,9.1,6.9,2.9,3.2,10.7,16.7,112.0,109.0,0.2,0.1,0.3,0.102,-0.4,0.2,-0.2,0.1,Ohio,Black,2012,2014,F,6-8,226,"September 30, 1988",University of Dayton,2013-2014,387,"Chris Wright, SF",Milwaukee Bucks,9281
tony wroten,2013-14,20.0,PHI,NBA,72,16.0,1765.0,12.9,0.233,0.403,4.1,10.1,7.0,20.9,2.1,0.7,17.7,27.7,92.0,111.0,-1.8,0.9,-0.9,-0.025,-2.3,-2.3,-4.6,-1.2,Washington,Black,2013,2016,G,6-6,205,"April 13, 1993",University of Washington,2013-2014,286,"Tony Wroten, SG",Philadelphia 76ers,1160040
nick young,2013-14,28.0,LAL,NBA,64,9.0,1810.0,16.0,0.394,0.321,1.7,8.1,4.9,9.0,1.2,0.5,8.6,26.8,107.0,114.0,2.3,0.3,2.5,0.067,1.7,-3.6,-1.9,0.0,California,Black,2008,2016,G-F,6-7,210,"June 1, 1985",University of Southern California,2013-2014,293,"Nick Young, SF",Los Angeles Lakers,1106942
thaddeus young,2013-14,25.0,PHI,NBA,79,78.0,2718.0,16.6,0.228,0.178,6.3,12.8,9.5,11.8,3.0,1.1,10.7,24.1,101.0,108.0,1.2,2.3,3.5,0.062,0.2,-0.4,-0.2,1.2,Louisiana,Black,2008,2016,F,6-8,221,"June 21, 1988",Georgia Institute of Technology,2013-2014,62,"Thaddeus Young, PF",Philadelphia 76ers,8850000
cody zeller,2013-14,21.0,CHA,NBA,82,3.0,1416.0,13.1,0.002,0.495,9.4,18.8,14.1,10.4,1.5,2.3,15.0,18.9,101.0,102.0,0.4,2.2,2.6,0.09,-3.2,1.8,-1.3,0.2,Indiana,White,2014,2016,F-C,7-0,240,"October 5, 1992",Indiana University,2013-2014,150,"Cody Zeller, C",Charlotte Bobcats,3857040
tyler zeller,2013-14,24.0,CLE,NBA,70,9.0,1049.0,15.4,0.003,0.417,10.8,19.6,15.1,5.6,0.9,3.0,14.9,17.1,112.0,107.0,1.5,1.1,2.6,0.12,-1.9,0.2,-1.7,0.1,California,White,2013,2016,F-C,7-0,253,"January 17, 1990",University of North Carolina,2013-2014,247,"Tyler Zeller, C",Cleveland Cavaliers,1633440
